query,sql,,,,,
What's the correlation between Apple and Google closing prices?,"SELECT (COUNT(*) * SUM(aapl_close * googl_close) - SUM(aapl_close) * SUM(googl_close)) / (sqrt(COUNT(*) * SUM(aapl_close * aapl_close) - SUM(aapl_close) * SUM(aapl_close)) * sqrt(COUNT(*) * SUM(googl_close * googl_close) - SUM(googl_close) * SUM(googl_close))) as correlation FROM (SELECT a.date, a.close as aapl_close, g.close as googl_close FROM stocks a JOIN stocks g ON a.date = g.date WHERE a.symbol = 'AAPL' AND g.symbol = 'GOOGL' AND a.date >= date('2025-09-03', '-90 days'))",,,,,
Calculate the beta of Tesla relative to the market average,"SELECT (COUNT(*) * SUM(tsla_return * market_return) - SUM(tsla_return) * SUM(market_return)) / (COUNT(*) * SUM(market_return * market_return) - SUM(market_return) * SUM(market_return)) as beta FROM (SELECT t.date, (t.close - LAG(t.close) OVER (ORDER BY t.date)) / LAG(t.close) OVER (ORDER BY t.date) as tsla_return, (m.avg_close - LAG(m.avg_close) OVER (ORDER BY t.date)) / LAG(m.avg_close) OVER (ORDER BY t.date) as market_return FROM stocks t JOIN (SELECT date, AVG(close) as avg_close FROM stocks WHERE symbol IN ('AAPL', 'GOOGL', 'AMZN', 'MSFT', 'NFLX') GROUP BY date) m ON t.date = m.date WHERE t.symbol = 'TSLA' AND t.date >= date('2025-09-03', '-180 days'))",,,,,
Show me the volatility smile for all stocks yesterday,"SELECT symbol, (high - low) / close * 100 as intraday_vol FROM stocks WHERE date = '2025-09-02' ORDER BY intraday_vol DESC",,,,,
Get the rolling correlation between Amazon and Microsoft over 30 days,"SELECT a.date, (30 * SUM(amzn_close * msft_close) OVER w - SUM(amzn_close) OVER w * SUM(msft_close) OVER w) / (sqrt(30 * SUM(amzn_close * amzn_close) OVER w - SUM(amzn_close) OVER w * SUM(amzn_close) OVER w) * sqrt(30 * SUM(msft_close * msft_close) OVER w - SUM(msft_close) OVER w * SUM(msft_close) OVER w)) as rolling_corr FROM (SELECT a.date, a.close as amzn_close, m.close as msft_close FROM stocks a JOIN stocks m ON a.date = m.date WHERE a.symbol = 'AMZN' AND m.symbol = 'MSFT' AND a.date >= date('2025-09-03', '-60 days')) WINDOW w AS (ORDER BY date ROWS 29 PRECEDING) ORDER BY date DESC",,,,,
What's the average daily range for Apple over the past quarter?,"SELECT AVG((high - low) / close * 100) as avg_daily_range FROM stocks WHERE symbol = 'AAPL' AND date >= date('2025-09-03', '-90 days')",,,,,
Show me the price action pattern for Google - inside days in the last month,"SELECT symbol, date, high, low, CASE WHEN high < LAG(high) OVER (ORDER BY date) AND low > LAG(low) OVER (ORDER BY date) THEN 'Inside Day' ELSE 'Outside Day' END as pattern FROM stocks WHERE symbol = 'GOOGL' AND date >= date('2025-09-03', '-30 days') ORDER BY date DESC",,,,,
Calculate the Williams %R indicator for Tesla,"SELECT symbol, date, close, high, low, ((SELECT MAX(high) FROM stocks s2 WHERE s2.symbol = 'TSLA' AND s2.date <= s1.date AND s2.date >= date(s1.date, '-14 days')) - close) / ((SELECT MAX(high) FROM stocks s3 WHERE s3.symbol = 'TSLA' AND s3.date <= s1.date AND s3.date >= date(s1.date, '-14 days')) - (SELECT MIN(low) FROM stocks s4 WHERE s4.symbol = 'TSLA' AND s4.date <= s1.date AND s4.date >= date(s1.date, '-14 days'))) * -100 as williams_r FROM stocks s1 WHERE symbol = 'TSLA' AND date >= date('2025-09-03', '-30 days') ORDER BY date DESC",,,,,
Get the stochastic oscillator for Amazon,"SELECT symbol, date, close, high, low, ((close - (SELECT MIN(low) FROM stocks s2 WHERE s2.symbol = 'AMZN' AND s2.date <= s1.date AND s2.date >= date(s1.date, '-14 days'))) / ((SELECT MAX(high) FROM stocks s3 WHERE s3.symbol = 'AMZN' AND s3.date <= s1.date AND s3.date >= date(s1.date, '-14 days')) - (SELECT MIN(low) FROM stocks s4 WHERE s4.symbol = 'AMZN' AND s4.date <= s1.date AND s4.date >= date(s1.date, '-14 days')))) * 100 as stoch_k FROM stocks s1 WHERE symbol = 'AMZN' AND date >= date('2025-09-03', '-30 days') ORDER BY date DESC",,,,,
Show me the money flow index for Microsoft,"SELECT symbol, date, close, volume, ((high + low + close) / 3) as typical_price, ((high + low + close) / 3) * volume as money_flow FROM stocks WHERE symbol = 'MSFT' AND date >= date('2025-09-03', '-30 days') ORDER BY date DESC",,,,,
What's the commodity channel index for Netflix over 20 days?,"SELECT symbol, date, close, high, low, (((high + low + close) / 3) - AVG((high + low + close) / 3) OVER (ORDER BY date ROWS 19 PRECEDING)) / (0.015 * AVG(ABS((high + low + close) / 3 - AVG((high + low + close) / 3) OVER (ORDER BY date ROWS 19 PRECEDING))) OVER (ORDER BY date ROWS 19 PRECEDING)) as cci FROM stocks WHERE symbol = 'NFLX' AND date >= date('2025-09-03', '-40 days') ORDER BY date DESC",,,,,
Calculate the MACD for Apple stock,"SELECT symbol, date, close, AVG(close) OVER (ORDER BY date ROWS 11 PRECEDING) as ema_12, AVG(close) OVER (ORDER BY date ROWS 25 PRECEDING) as ema_26, AVG(close) OVER (ORDER BY date ROWS 11 PRECEDING) - AVG(close) OVER (ORDER BY date ROWS 25 PRECEDING) as macd_line FROM stocks WHERE symbol = 'AAPL' AND date >= date('2025-09-03', '-60 days') ORDER BY date DESC",,,,,
Show me the price rate of change for Google over 12 days,"SELECT symbol, date, close, (close - LAG(close, 12) OVER (ORDER BY date)) / LAG(close, 12) OVER (ORDER BY date) * 100 as roc_12 FROM stocks WHERE symbol = 'GOOGL' AND date >= date('2025-09-03', '-30 days') ORDER BY date DESC",,,,,
Get the ultimate oscillator for Tesla,"SELECT symbol, date, close, high, low, open FROM stocks WHERE symbol = 'TSLA' AND date >= date('2025-09-03', '-60 days') ORDER BY date DESC",,,,,
What's the Chaikin oscillator for Amazon?,"SELECT symbol, date, close, high, low, volume, ((close - low) - (high - close)) / (high - low) * volume as ad_line FROM stocks WHERE symbol = 'AMZN' AND date >= date('2025-09-03', '-30 days') ORDER BY date DESC",,,,,
Show me the pivot points for Microsoft yesterday,"SELECT symbol, date, high, low, close, (high + low + close) / 3 as pivot, ((high + low + close) / 3) * 2 - low as resistance_1, ((high + low + close) / 3) * 2 - high as support_1 FROM stocks WHERE symbol = 'MSFT' AND date = '2025-09-02'",,,,,
Calculate the Fibonacci retracement levels for Netflix over the past month,"SELECT symbol, MAX(high) as high_point, MIN(low) as low_point, MIN(low) + (MAX(high) - MIN(low)) * 0.236 as fib_236, MIN(low) + (MAX(high) - MIN(low)) * 0.382 as fib_382, MIN(low) + (MAX(high) - MIN(low)) * 0.5 as fib_50, MIN(low) + (MAX(high) - MIN(low)) * 0.618 as fib_618 FROM stocks WHERE symbol = 'NFLX' AND date >= date('2025-09-03', '-30 days') GROUP BY symbol",,,,,
Show me the gaps in Apple's price over the last 2 weeks,"SELECT symbol, date, open, LAG(close) OVER (ORDER BY date) as prev_close, ABS(open - LAG(close) OVER (ORDER BY date)) as gap_size, CASE WHEN open > LAG(close) OVER (ORDER BY date) THEN 'Gap Up' ELSE 'Gap Down' END as gap_type FROM stocks WHERE symbol = 'AAPL' AND date >= date('2025-09-03', '-14 days') AND ABS(open - LAG(close) OVER (ORDER BY date)) / LAG(close) OVER (ORDER BY date) > 0.01 ORDER BY date DESC",,,,,
Get the volume profile for Google over the past month,"SELECT symbol, ROUND(close / 10) * 10 as price_level, SUM(volume) as volume_at_level FROM stocks WHERE symbol = 'GOOGL' AND date >= date('2025-09-03', '-30 days') GROUP BY symbol, price_level ORDER BY price_level DESC",,,,,
What's the on-balance volume for Tesla?,"SELECT symbol, date, close, volume, SUM(CASE WHEN close > LAG(close) OVER (ORDER BY date) THEN volume WHEN close < LAG(close) OVER (ORDER BY date) THEN -volume ELSE 0 END) OVER (ORDER BY date) as obv FROM stocks WHERE symbol = 'TSLA' AND date >= date('2025-09-03', '-60 days') ORDER BY date DESC",,,,,
Show me the accumulation/distribution line for Amazon,"SELECT symbol, date, close, high, low, volume, SUM(((close - low) - (high - close)) / (high - low) * volume) OVER (ORDER BY date) as ad_line FROM stocks WHERE symbol = 'AMZN' AND date >= date('2025-09-03', '-60 days') ORDER BY date DESC",,,,,
Calculate the ease of movement for Microsoft,"SELECT symbol, date, high, low, volume, ((high + low) / 2 - LAG((high + low) / 2) OVER (ORDER BY date)) / (volume / (high - low)) as eom FROM stocks WHERE symbol = 'MSFT' AND date >= date('2025-09-03', '-30 days') ORDER BY date DESC",,,,,
What's the volume rate of change for Netflix?,"SELECT symbol, date, volume, (volume - LAG(volume, 10) OVER (ORDER BY date)) / LAG(volume, 10) OVER (ORDER BY date) * 100 as vroc FROM stocks WHERE symbol = 'NFLX' AND date >= date('2025-09-03', '-30 days') ORDER BY date DESC",,,,,
Show me the price volume trend for Apple,"SELECT symbol, date, close, volume, SUM(volume * ((close - LAG(close) OVER (ORDER BY date)) / LAG(close) OVER (ORDER BY date))) OVER (ORDER BY date) as pvt FROM stocks WHERE symbol = 'AAPL' AND date >= date('2025-09-03', '-60 days') ORDER BY date DESC",,,,,
Get the negative volume index for Google,"SELECT symbol, date, close, volume, CASE WHEN volume < LAG(volume) OVER (ORDER BY date) THEN LAG(nvi, 1, 1000) OVER (ORDER BY date) * (close / LAG(close) OVER (ORDER BY date)) ELSE LAG(nvi, 1, 1000) OVER (ORDER BY date) END as nvi FROM stocks WHERE symbol = 'GOOGL' AND date >= date('2025-09-03', '-60 days') ORDER BY date DESC",,,,,
Calculate the positive volume index for Tesla,"SELECT symbol, date, close, volume, CASE WHEN volume > LAG(volume) OVER (ORDER BY date) THEN LAG(pvi, 1, 100) OVER (ORDER BY date) * (close / LAG(close) OVER (ORDER BY date)) ELSE LAG(pvi, 1, 100) OVER (ORDER BY date) END as pvi FROM stocks WHERE symbol = 'TSLA' AND date >= date('2025-09-03', '-60 days') ORDER BY date DESC",,,,,
Show me the volume oscillator for Amazon,"SELECT symbol, date, volume, AVG(volume) OVER (ORDER BY date ROWS 4 PRECEDING) as vol_5, AVG(volume) OVER (ORDER BY date ROWS 9 PRECEDING) as vol_10, (AVG(volume) OVER (ORDER BY date ROWS 4 PRECEDING) - AVG(volume) OVER (ORDER BY date ROWS 9 PRECEDING)) / AVG(volume) OVER (ORDER BY date ROWS 9 PRECEDING) * 100 as vol_osc FROM stocks WHERE symbol = 'AMZN' AND date >= date('2025-09-03', '-30 days') ORDER BY date DESC",,,,,
What's the Klinger oscillator for Microsoft?,"SELECT symbol, date, close, high, low, volume, ((close - low) - (high - close)) / (high - low) * volume as ad_volume FROM stocks WHERE symbol = 'MSFT' AND date >= date('2025-09-03', '-60 days') ORDER BY date DESC",,,,,
Get the force index for Netflix,"SELECT symbol, date, close, volume, (close - LAG(close) OVER (ORDER BY date)) * volume as force_index FROM stocks WHERE symbol = 'NFLX' AND date >= date('2025-09-03', '-30 days') ORDER BY date DESC",,,,,
Show me the elder ray bull power for Apple,"SELECT symbol, date, close, high, AVG(close) OVER (ORDER BY date ROWS 12 PRECEDING) as ema_13, high - AVG(close) OVER (ORDER BY date ROWS 12 PRECEDING) as bull_power FROM stocks WHERE symbol = 'AAPL' AND date >= date('2025-09-03', '-30 days') ORDER BY date DESC",,,,,
Calculate the elder ray bear power for Google,"SELECT symbol, date, close, low, AVG(close) OVER (ORDER BY date ROWS 12 PRECEDING) as ema_13, low - AVG(close) OVER (ORDER BY date ROWS 12 PRECEDING) as bear_power FROM stocks WHERE symbol = 'GOOGL' AND date >= date('2025-09-03', '-30 days') ORDER BY date DESC",,,,,
What's the mass index for Tesla over 25 days?,"SELECT symbol, date, high, low, AVG((high - low) / LAG((high - low)) OVER (ORDER BY date)) OVER (ORDER BY date ROWS 8 PRECEDING) as mass_index FROM stocks WHERE symbol = 'TSLA' AND date >= date('2025-09-03', '-40 days') ORDER BY date DESC",,,,,
Show me the Coppock curve for Amazon,"SELECT symbol, date, close, SUM((close - LAG(close, 14) OVER (ORDER BY date)) / LAG(close, 14) OVER (ORDER BY date) * 100 + (close - LAG(close, 11) OVER (ORDER BY date)) / LAG(close, 11) OVER (ORDER BY date) * 100) OVER (ORDER BY date ROWS 9 PRECEDING) as coppock FROM stocks WHERE symbol = 'AMZN' AND date >= date('2025-09-03', '-60 days') ORDER BY date DESC",,,,,
Get the know sure thing oscillator for Microsoft,"SELECT symbol, date, close, ((close - LAG(close, 10) OVER (ORDER BY date)) / LAG(close, 10) OVER (ORDER BY date) * 100) * 1 + ((close - LAG(close, 15) OVER (ORDER BY date)) / LAG(close, 15) OVER (ORDER BY date) * 100) * 2 + ((close - LAG(close, 20) OVER (ORDER BY date)) / LAG(close, 20) OVER (ORDER BY date) * 100) * 3 + ((close - LAG(close, 30) OVER (ORDER BY date)) / LAG(close, 30) OVER (ORDER BY date) * 100) * 4 as kst FROM stocks WHERE symbol = 'MSFT' AND date >= date('2025-09-03', '-60 days') ORDER BY date DESC",,,,,
Calculate the price oscillator for Netflix,"SELECT symbol, date, close, AVG(close) OVER (ORDER BY date ROWS 11 PRECEDING) as ma_12, AVG(close) OVER (ORDER BY date ROWS 25 PRECEDING) as ma_26, (AVG(close) OVER (ORDER BY date ROWS 11 PRECEDING) - AVG(close) OVER (ORDER BY date ROWS 25 PRECEDING)) / AVG(close) OVER (ORDER BY date ROWS 25 PRECEDING) * 100 as price_osc FROM stocks WHERE symbol = 'NFLX' AND date >= date('2025-09-03', '-60 days') ORDER BY date DESC",,,,,
Show me the detrended price oscillator for Apple,"SELECT symbol, date, close, close - LAG(close, 11) OVER (ORDER BY date) as dpo FROM stocks WHERE symbol = 'AAPL' AND date >= date('2025-09-03', '-30 days') ORDER BY date DESC",,,,,
What's the percentage price oscillator for Google?,"SELECT symbol, date, close, AVG(close) OVER (ORDER BY date ROWS 11 PRECEDING) as ema_12, AVG(close) OVER (ORDER BY date ROWS 25 PRECEDING) as ema_26, (AVG(close) OVER (ORDER BY date ROWS 11 PRECEDING) - AVG(close) OVER (ORDER BY date ROWS 25 PRECEDING)) / AVG(close) OVER (ORDER BY date ROWS 25 PRECEDING) * 100 as ppo FROM stocks WHERE symbol = 'GOOGL' AND date >= date('2025-09-03', '-60 days') ORDER BY date DESC",,,,,
Get the absolute price oscillator for Tesla,"SELECT symbol, date, close, AVG(close) OVER (ORDER BY date ROWS 11 PRECEDING) - AVG(close) OVER (ORDER BY date ROWS 25 PRECEDING) as apo FROM stocks WHERE symbol = 'TSLA' AND date >= date('2025-09-03', '-60 days') ORDER BY date DESC",,,,,
Calculate the bias indicator for Amazon,"SELECT symbol, date, close, AVG(close) OVER (ORDER BY date ROWS 5 PRECEDING) as ma_6, (close - AVG(close) OVER (ORDER BY date ROWS 5 PRECEDING)) / AVG(close) OVER (ORDER BY date ROWS 5 PRECEDING) * 100 as bias FROM stocks WHERE symbol = 'AMZN' AND date >= date('2025-09-03', '-30 days') ORDER BY date DESC",,,,,
Show me the psychological line for Microsoft,"SELECT symbol, date, close, AVG(CASE WHEN close > LAG(close) OVER (ORDER BY date) THEN 1 ELSE 0 END) OVER (ORDER BY date ROWS 11 PRECEDING) * 100 as psy_line FROM stocks WHERE symbol = 'MSFT' AND date >= date('2025-09-03', '-30 days') ORDER BY date DESC",,,,,
What's the advance decline line for my portfolio?,"SELECT date, SUM(CASE WHEN close > LAG(close) OVER (PARTITION BY symbol ORDER BY date) THEN 1 ELSE -1 END) OVER (ORDER BY date) as ad_line FROM stocks WHERE symbol IN ('AAPL', 'GOOGL', 'AMZN', 'MSFT', 'NFLX') AND date >= date('2025-09-03', '-60 days') GROUP BY date ORDER BY date DESC",,,,,
Get the arms index for all stocks,"SELECT date, SUM(CASE WHEN close > LAG(close) OVER (PARTITION BY symbol ORDER BY date) THEN volume ELSE 0 END) / SUM(CASE WHEN close < LAG(close) OVER (PARTITION BY symbol ORDER BY date) THEN volume ELSE 0 END) as arms_index FROM stocks WHERE date >= date('2025-09-03', '-30 days') GROUP BY date ORDER BY date DESC",,,,,
Show me the McClellan oscillator,"SELECT date, (COUNT(CASE WHEN close > LAG(close) OVER (PARTITION BY symbol ORDER BY date) THEN 1 END) - COUNT(CASE WHEN close < LAG(close) OVER (PARTITION BY symbol ORDER BY date) THEN 1 END)) as net_advances, AVG((COUNT(CASE WHEN close > LAG(close) OVER (PARTITION BY symbol ORDER BY date) THEN 1 END) - COUNT(CASE WHEN close < LAG(close) OVER (PARTITION BY symbol ORDER BY date) THEN 1 END))) OVER (ORDER BY date ROWS 18 PRECEDING) as mcclellan FROM stocks WHERE date >= date('2025-09-03', '-60 days') GROUP BY date ORDER BY date DESC",,,,,
Calculate the money flow for Netflix,"SELECT symbol, date, close, high, low, volume, ((close - low) - (high - close)) / (high - low) * volume as money_flow FROM stocks WHERE symbol = 'NFLX' AND date >= date('2025-09-03', '-30 days') ORDER BY date DESC",,,,,
Show me the demand index for Apple,"SELECT symbol, date, close, volume, SUM(CASE WHEN close > LAG(close) OVER (ORDER BY date) THEN volume ELSE 0 END) OVER (ORDER BY date ROWS 9 PRECEDING) / SUM(volume) OVER (ORDER BY date ROWS 9 PRECEDING) as demand_index FROM stocks WHERE symbol = 'AAPL' AND date >= date('2025-09-03', '-30 days') ORDER BY date DESC",,,,,
What's the buying pressure for Google?,"SELECT symbol, date, close, high, low, (close - low) / (high - low) as buying_pressure FROM stocks WHERE symbol = 'GOOGL' AND date >= date('2025-09-03', '-30 days') ORDER BY date DESC",,,,,
Get the selling pressure for Tesla,"SELECT symbol, date, close, high, low, (high - close) / (high - low) as selling_pressure FROM stocks WHERE symbol = 'TSLA' AND date >= date('2025-09-03', '-30 days') ORDER BY date DESC",,,,,
Calculate the net money flow for Amazon,"SELECT symbol, date, close, volume, SUM(CASE WHEN close > LAG(close) OVER (ORDER BY date) THEN volume * close WHEN close < LAG(close) OVER (ORDER BY date) THEN -volume * close ELSE 0 END) OVER (ORDER BY date ROWS 9 PRECEDING) as net_money_flow FROM stocks WHERE symbol = 'AMZN' AND date >= date('2025-09-03', '-30 days') ORDER BY date DESC",,,,,
Show me the price and volume rank for Microsoft,"SELECT symbol, date, close, volume, RANK() OVER (ORDER BY close DESC) as price_rank, RANK() OVER (ORDER BY volume DESC) as volume_rank FROM stocks WHERE symbol = 'MSFT' AND date >= date('2025-09-03', '-30 days') ORDER BY date DESC",,,,,
What's the relative volume for Netflix today?,"SELECT symbol, date, volume, (SELECT AVG(volume) FROM stocks s2 WHERE s2.symbol = 'NFLX' AND s2.date >= date('2025-09-03', '-20 days') AND s2.date < '2025-09-03') as avg_volume, volume / (SELECT AVG(volume) FROM stocks s3 WHERE s3.symbol = 'NFLX' AND s3.date >= date('2025-09-03', '-20 days') AND s3.date < '2025-09-03') as relative_volume FROM stocks WHERE symbol = 'NFLX' AND date = '2025-09-03'",,,,,
Get the volume breakout for Apple,"SELECT symbol, date, volume, AVG(volume) OVER (ORDER BY date ROWS 19 PRECEDING) as avg_vol_20, CASE WHEN volume > AVG(volume) OVER (ORDER BY date ROWS 19 PRECEDING) * 1.5 THEN 'Volume Breakout' ELSE 'Normal Volume' END as volume_status FROM stocks WHERE symbol = 'AAPL' AND date >= date('2025-09-03', '-30 days') ORDER BY date DESC",,,,,
Show me the unusual volume activity for Google yesterday,"SELECT symbol, date, volume, (SELECT AVG(volume) FROM stocks s2 WHERE s2.symbol = 'GOOGL' AND s2.date >= date('2025-09-02', '-30 days') AND s2.date < '2025-09-02') as avg_volume, volume / (SELECT AVG(volume) FROM stocks s3 WHERE s3.symbol = 'GOOGL' AND s3.date >= date('2025-09-02', '-30 days') AND s3.date < '2025-09-02') as volume_ratio FROM stocks WHERE symbol = 'GOOGL' AND date = '2025-09-02' HAVING volume_ratio > 2",,,,,
